Datetime,BBC,Daily Mail,NBC News,The Washington Post,New York Times,The Huffington Post,Fox News,The Guardian,The Wall Street Journal,USA Today,LA Times,India Times,Bloomberg,Yahoo,,,
2016-11-06 12:00:04.521333,Rebel force targets IS Syrian 'capital',Nigel Farage warns there could be RIOTS as he clashes with Brexit wrecker nemesis Gina Miller over her legal bid to block EU exit,Race to 270: 3 Paths to Victory for Clinton and Trump,More states appear in play as presidential race hits final stretch,Clinton Appears to Gain Late Support Among Latino Voters,"GOP DOG WHISTLE: 'CERTAIN GROUPS' GETTING EXTRA TIME
IMMIGRANTS PANIC
LATINO VOTE SURGE",SECURITY SCARE: Trump pulled offstage after 'Gun!' cry sparks panic,Beaten for holding a 'Republicans against Trump' sign,Early Result of Election 2016: Angry Voters,"Sheriff: S.C. man chained woman, killed up to 7 people","Across America, the end of the election looms with a question: What now?","It's Not Just Delhi, 94 Indian Cities Haven’t Met Air Quality Standards In The Last 5 Years!",U.S. Election Guide to Markets: What to Watch With 2 Days to Go,,,,
2016-11-06 13:00:04.527694,Rebel force targets IS Syrian 'capital',Nigel Farage warns there could be RIOTS as he clashes with Brexit wrecker nemesis Gina Miller over her legal bid to block EU exit,Final NBC/WSJ Poll: Clinton Holds Four-Point Lead Over Trump,More states appear in play as presidential race hits final stretch,Clinton Appears to Gain Late Support Among Latino Voters,MARKETS SHUDDER IN FEAR OF TRUMP,"CLEANING HOUSE?Clinton directed her maid to print out classified material, including emails",Trump's campaign says Clinton 'hitting the panic button' in blue states,Clinton Leads Trump by 4 Points in Latest Poll,"Sheriff: S.C. man chained woman, killed up to 7 people","Across America, the end of the election looms with a question: What now?","Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army",U.S. Election Guide to Markets: What to Watch With 2 Days to Go,,,,
2016-11-06 14:00:04.546926,Rebel force targets IS Syrian 'capital',Nigel Farage warns there could be RIOTS as he clashes with Brexit wrecker nemesis Gina Miller over her legal bid to block EU exit,Final NBC/WSJ Poll: Clinton Holds Four-Point Lead Over Trump,More states appear in play as presidential race hits final stretch,Clinton Appears to Gain Late Support Among Latino Voters,MARKETS SHUDDER IN FEAR OF TRUMP,"CLEANING HOUSE?Clinton directed her maid to print out classified material, including emails",Trump's campaign says Clinton 'hitting the panic button' in Democrat states,Clinton Leads Trump by 4 Points in Latest Poll,"Sheriff: S.C. man chained woman, killed up to 7 people","Across America, the end of the election looms with a question: What now?","Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army",U.S. Election Guide to Markets: What to Watch With 2 Days to Go,,,,
2016-11-06 15:00:04.658955,Rebel force targets IS Syrian 'capital',Nigel Farage warns there could be RIOTS as he clashes with Brexit wrecker nemesis Gina Miller over her legal bid to block EU exit,Final NBC/WSJ Poll: Clinton Holds Four-Point Lead Over Trump,Trump campaign undermining GOP outreach to Hispanic voters,Clinton Appears to Gain Late Support Among Latino Voters,MARKETS SHUDDER IN FEAR OF TRUMP,"CLEANING HOUSE?Clinton directed her maid to print out classified material, including emails",Trump's campaign says Clinton 'hitting the panic button' in Democrat states,Clinton Leads Trump by 4 Points in Latest Poll,Iowa poll: Trump opens 7-point lead over Clinton,"Across America, the end of the election looms with a question: What now?","Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army",What Happens If Nobody Wins the Presidency?,,,,
2016-11-06 16:00:04.075885,Rebel force targets IS Syrian 'capital',Nigel Farage warns there could be RIOTS as he clashes with Brexit wrecker nemesis Gina Miller over her legal bid to block EU exit,Final NBC/WSJ Poll: Clinton Holds Four-Point Lead Over Trump,Trump campaign undermining GOP outreach to Hispanic voters,Clinton Appears to Gain Late Support Among Latino Voters,"HILLARY HEATS UP
POLLING BETTER THAN OBAMA AT SAME TIME IN '08","SOMETHING BORROWED?Clinton aide says Foundation paid for Chelsea’s wedding, WikiLeaks reveals",Trump's campaign says Clinton 'hitting the panic button' in Democrat states,Clinton Leads Trump by 4 Points in Latest Poll,Iowa poll: Trump opens 7-point lead over Clinton,What happens after Tuesday? Dismayed voters weigh in on the future of a divided nation,"Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army","Clinton Rallies Michigan Base,  Trump Jumps Into Blue Minnesota",,,,
2016-11-06 17:00:03.972189,Rebel force targets IS Syrian 'capital','I hope the real thing is half as good': Student fools the internet with a fake John Lewis Christmas ad which has prompted calls for the retailer to offer him a job. Now judge for yourself if it's 'perfect',Final NBC/WSJ Poll: Clinton Holds Four-Point Lead Over Trump,Trump campaign undermining GOP outreach to Hispanic voters,"Live Updates: In Final Polls, a Narrow Lead for Clinton","HILLARY HEATS UP
POLLING BETTER THAN OBAMA AT SAME TIME IN '08","SOMETHING BORROWED?Clinton aide says Foundation paid for Chelsea’s wedding, WikiLeaks reveals",Clinton retains edge over Trump in sprint to the finish,Clinton Leads Trump by 4 Points in Latest Poll,"Clinton makes closing argument with focus on Trump, black voters",What happens after Tuesday? Dismayed voters weigh in on the future of a divided nation,"Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army","Clinton Rallies Michigan Base,  Trump Jumps Into Blue Minnesota",,,,
2016-11-06 18:00:04.667560,US rivals blitz battleground states,'I hope the real thing is half as good': Student fools the internet with a fake John Lewis Christmas ad which has prompted calls for the retailer to offer him a job. Now judge for yourself if it's 'perfect',Final NBC/WSJ Poll: Clinton Holds Four-Point Lead Over Trump,Trump campaign undermining GOP outreach to Hispanic voters,"Live Updates: In Final Polls, a Narrow Lead for Clinton","HILLARY HEATS UP
POLLING BETTER THAN OBAMA AT SAME TIME IN '08","SOMETHING BORROWED?Clinton aide says Foundation paid for Chelsea’s wedding, WikiLeaks reveals",Clinton retains edge over Trump in sprint to the finish,Clinton Leads Trump by 4 Points in Latest Poll,"Clinton makes closing argument with focus on Trump, black voters",Final flurry of national and battleground state polls offers mostly good news to Clinton,"Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army","Clinton Rallies Michigan Base,  Trump Jumps Into Blue Minnesota",,,,
2016-11-06 19:00:03.992927,No criminality in Clinton emails - FBI,'I hope the real thing is half as good': Student fools the internet with a fake John Lewis Christmas ad which has prompted calls for the retailer to offer him a job. Now judge for yourself if it's 'perfect',Final NBC/WSJ Poll: Clinton Holds Four-Point Lead Over Trump,FBI Director Comey says agency won’t recommend charges over Clinton email,"Emails Warrant No New Action Against Clinton, Comey Says",NEW COMEY LETTER: CLINTON'S CLEAR,"SOMETHING BORROWED?Clinton aide says Foundation paid for Chelsea’s wedding, WikiLeaks reveals",New Hillary Clinton emails still do not show criminal wrongdoing,FBI Finds No New Evidence in Emails to Charge Clinton,FBI Director Comey: Not recommending charges over new Clinton emails,FBI's Comey says latest emails do not change his recommendation that Clinton should not face charges,"Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army","FBI Ends Review of New Clinton E-Mails, Says No Crime Committed",,,,
2016-11-06 20:00:04.725354,No criminality in Clinton emails - FBI,'I hope the real thing is half as good': Student fools the internet with a fake John Lewis Christmas ad which has prompted calls for the retailer to offer him a job. Now judge for yourself if it's 'perfect',Final NBC/WSJ Poll: Clinton Holds Four-Point Lead Over Trump,Comey: FBI won’t recommend charges over Clinton email,Letter Removes Dark Cloud Over Clinton Campaign,NEW COMEY LETTER: CLINTON'S CLEAR,"FBI'S DECISION STANDS: Comey says Clinton email review finished, guidance not to prosecute remains",New Hillary Clinton emails still do not show criminal wrongdoing,FBI Finds No New Evidence in Emails to Charge Clinton,Comey not recommending charges over new Clinton emails,FBI will not recommend charges over new emails in Clinton probe,"Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army","FBI Ends Review of New Clinton E-Mails, Says No Crime Committed",,,,
2016-11-06 21:00:03.857396,No criminality in Clinton emails - FBI,'I hope the real thing is half as good': Student fools the internet with a fake John Lewis Christmas ad which has prompted calls for the retailer to offer him a job. Now judge for yourself if it's 'perfect',FBI Completes Review of Clinton Emails: No Criminality Found,FBI won’t recommend charges over Clinton emails,Cloud Over Clinton Campaign Is Lifted 2 Days Before Election,NEW COMEY LETTER: CLINTON'S CLEAR,"FBI'S DECISION STANDS: Comey says Clinton email review finished, guidance not to prosecute remains",New Hillary Clinton emails still do not show criminal wrongdoing,FBI Finds No New Evidence in Emails to Charge Clinton,FBI declares it is finally done investigating Hillary Clinton's email,FBI clears Clinton after round-the-clock review of new emails,"Sarkari Culture Is Delaying Acquisition Of  Big Guns At The Border, Crippling The Army","FBI Ends Review of New Clinton E-Mails, Says No Crime Committed",,,,
